# ra,dec,g_cmodel_mag,g_cmodel_magsigma,r_cmodel_mag,r_cmodel_magsigma,i_cmodel_mag,i_cmodel_magsigma,g_psfflux_mag,g_psfflux_magsigma,r_psfflux_mag,r_psfflux_magsigma,i_psfflux_mag,i_psfflux_magsigma,object_id,g_psfflux_flag,r_psfflux_flag,i_psfflux_flag,g_cmodel_flag,r_cmodel_flag,i_cmodel_flag,g_pixelflags_edge,r_pixelflags_edge,i_pixelflags_edge,g_pixelflags_bad,r_pixelflags_bad,i_pixelflags_bad,g_pixelflags_interpolatedcenter,r_pixelflags_interpolatedcenter,i_pixelflags_interpolatedcenter,g_pixelflags_saturatedcenter,r_pixelflags_saturatedcenter,i_pixelflags_saturatedcenter,g_pixelflags_crcenter,r_pixelflags_crcenter,i_pixelflags_crcenter
31.124338762491433,-0.6784270400086034,19.133461,0.000798823254,19.0902939,0.000820415211,nan,nan,19.1425171,0.000712750072,19.1316853,0.000825699652,nan,nan,40669303023886081,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
135.66763156123952,3.1976229245532566,19.7929401,0.000979527482,19.2835388,0.000858632091,18.9962387,0.000531597063,19.7971783,0.000908405113,19.2864628,0.000733192894,19.0131073,0.000528704375,44178656376942419,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
171.6087227612961,-1.8372982332225276,19.3471889,0.000928369293,19.0443382,0.000897350314,,,19.3534946,0.000930454116,19.047596,0.00089067762,,,40017988413308709,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,
198.27397468612995,1.9908203516879681,19.3128052,0.00196610461,19.3133011,0.00158738089,,,19.3143406,0.00195152464,19.312952,0.00157818396,,,43299055664638563,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,
203.91651516170572,-1.5707949085202564,,,18.6357079,0.000666275446,18.7155972,0.00121207477,,,18.639698,0.000651247159,18.7224026,0.0012048356,40115028904394126,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False
206.38019094380473,43.13449071534409,19.159338,0.0016181597,19.0182533,0.000741039985,,,19.1583748,0.00161677913,19.019083,0.000735208218,,,69542770427054512,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,
210.70033256078057,1.7761278197868973,20.2131615,0.00209575752,18.6329231,0.000926964392,nan,nan,20.2136669,0.00205774396,18.6417961,0.000920532621,18.3846512,0.000921199447,43339320983049711,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
213.7736625019994,44.80218811391642,17.983263,0.00101210712,17.8634987,0.000887528586,nan,nan,17.9834061,0.000992479967,17.8656406,0.00088165194,nan,nan,71112842966740134,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
220.61803658965414,-1.6051007539911375,19.3600521,0.00112098677,19.232254,0.00104253425,19.1017456,0.0006475189,19.3610363,0.000991463312,19.2383842,0.000978890457,19.1189003,0.000646228029,40163265682114006,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
226.32701070115732,2.448193635885815,19.7696075,0.00234111072,,,nan,nan,19.7877769,0.00233752164,,,nan,nan,43382764577243369,False,,True,False,,True,False,,False,False,,False,False,,True,False,,False,False,,False
241.2853801274572,44.716558611756895,19.3648911,0.00194588851,19.3735199,0.00201538182,19.2887039,0.00133213541,19.3697128,0.00171908957,19.3747177,0.00183138356,19.2826347,0.00131553493,71169738398530446,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
249.08365971206422,42.587098923667924,19.5578651,0.000830646604,18.9254913,0.000719837321,19.0936279,0.000551817531,19.5595474,0.000771037652,18.9280853,0.000687008665,19.1064034,0.000549723394,69634566763082381,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
150.14064389607285,4.145614389277239,18.39328,0.00107006147,18.2978134,0.00104159582,18.3652306,0.00056885113,18.4052773,0.00106808532,18.3014488,0.0010237731,18.3717537,0.000565666473,44223070633742096,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
168.33308591533938,1.0858246784758527,19.0394859,0.000714761787,18.9710884,0.00070149597,,,19.0476971,0.000717182469,18.9702759,0.000696566771,,,42147467558404107,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,
173.72303784041208,1.6631238925070662,19.8338547,0.00172256795,19.4909267,0.00173577003,19.7210007,0.00148546835,19.8293266,0.00163645763,19.4813538,0.00142208033,19.737854,0.00148311094,43229228086350660,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
187.85296213091624,0.7886792840652256,19.5415268,0.000941939245,19.1848793,0.000902101747,18.9146652,0.000489528175,19.5411758,0.00091468147,19.1806259,0.000859239954,18.9146194,0.000484717079,42204496134174410,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
188.20531672968042,1.7498534465863231,19.8842392,0.00221311348,19.6879616,0.00126771082,19.6379128,0.00137559255,19.8896065,0.00206113001,19.6918755,0.00117653259,19.6577454,0.00137936184,43273483429379385,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
188.3243654692603,2.596052836214783,,,19.0109501,0.000822046364,,,,,19.0095673,0.000816142187,,,43273367465249952,,False,,,False,,,False,,,False,,,False,,,False,,,False,
189.60377961044443,0.30962539480145435,19.8016663,0.00173164636,19.3607292,0.00136354554,19.2288933,0.000931622926,19.8057709,0.00162622577,19.3681641,0.00126996101,19.2239914,0.00092236686,42208610712836262,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
191.08636186139196,-2.2346046859041317,19.7467308,0.00199531578,19.3921585,0.00172285968,,,19.7468262,0.00199083611,19.3889542,0.00170988601,,,40075016989064134,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,
220.03507211794067,2.194050585458918,18.579895,0.000636554905,18.4773655,0.00101534615,18.7856445,0.000520304777,18.615818,0.00063615106,18.5271835,0.00102977059,18.8459835,0.000525919371,43365442974140357,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
350.75462234715053,-0.2643334504398102,19.419529,0.00083460554,19.3269901,0.000815163192,19.1760178,0.000720197335,19.4227543,0.000827947224,19.3320694,0.000811683945,19.189024,0.000715171511,41619568833094538,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28.816393546398437,-1.1796836347297592,18.9835033,0.00143549067,18.7056313,0.00118712278,18.5623837,0.00407698611,18.9819527,0.0014326144,18.7051544,0.00118011981,18.5637398,0.00405297102,40659948585107262,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
